symbol	kind	category	rationale
pthread_key_delete	FUNC	C	pthread-TLS-state
pthread_mutex_destroy	FUNC	C	pthread-object-layout-state
pthread_mutex_init	FUNC	C	pthread-object-layout-state
pthread_mutex_lock	FUNC	C	pthread-object-layout-state
pthread_mutex_trylock	FUNC	C	pthread-object-layout-state
pthread_mutex_unlock	FUNC	C	pthread-object-layout-state
pthread_mutexattr_destroy	FUNC	C	pthread-attr-layout-state
pthread_mutexattr_init	FUNC	C	pthread-attr-layout-state
pthread_mutexattr_settype	FUNC	C	pthread-constant-layout-state
pthread_once	FUNC	C	pthread-once-layout-state
pthread_rwlock_rdlock	FUNC	C	pthread-object-layout-state
pthread_rwlock_unlock	FUNC	C	pthread-object-layout-state
pthread_rwlock_wrlock	FUNC	C	pthread-object-layout-state
pthread_self	FUNC	C	pthread-identity-state
pthread_setspecific	FUNC	C	pthread-TLS-state
read	FUNC	B	fd-errno-wrapper
readdir	FUNC	B	DIR-dirent-layout-errno
readlink	FUNC	B	path-errno-wrapper
realloc	FUNC	C	allocator-owned-state
realpath	FUNC	B	path-allocation-errno
remove	FUNC	B	path-errno-wrapper
rename	FUNC	B	path-errno-wrapper
sendfile	FUNC	B	off_t-kernel-errno
setlocale	FUNC	C	locale-global-state
snprintf	FUNC	B	varargs-format-long-double
sscanf	FUNC	B	varargs-format-long-double
stat	FUNC	B	stat-layout-path-errno
statvfs	FUNC	B	statvfs-layout-constants
strcmp	FUNC	A	byte-string-leaf
strcoll_l	FUNC	C	locale-owned-state
strerror_r	FUNC	B	errno-number-semantics
strftime_l	FUNC	C	locale-owned-state
strlen	FUNC	A	byte-string-leaf
strncmp	FUNC	A	byte-string-leaf
strtod	FUNC	B	errno-locale-number-semantics
strtof	FUNC	B	errno-locale-number-semantics
strtol	FUNC	B	errno-locale-integer-semantics
strtold	FUNC	B	long-double-errno-locale
strtold_l	FUNC	B	long-double-locale-handle-errno
strtoll	FUNC	B	errno-locale-integer-semantics
strtoll_l	FUNC	B	locale-handle-errno
strtoul	FUNC	B	errno-locale-integer-semantics
strtoull	FUNC	B	errno-locale-integer-semantics
strtoull_l	FUNC	B	locale-handle-errno
strxfrm_l	FUNC	C	locale-owned-state
swprintf	FUNC	B	wide-varargs-long-double
symlink	FUNC	B	path-errno-wrapper
syscall	FUNC	D	linux-syscall-number-ABI
sysconf	FUNC	B	linux-name-constants-errno
syslog	FUNC	C	syslog-global-varargs-state
towlower_l	FUNC	C	locale-owned-state
towupper_l	FUNC	C	locale-owned-state
truncate	FUNC	B	path-off_t-errno
ungetc	FUNC	B	FILE-layout-state
ungetwc	FUNC	B	FILE-layout-wide-state
unlinkat	FUNC	B	linux-dirfd-flags-path-errno
uselocale	FUNC	C	locale-thread-state
utimensat	FUNC	B	dirfd-timespec-flags-errno
vasprintf	FUNC	B	va_list-allocator-format
vfprintf	FUNC	B	FILE-layout-va_list-format
vsnprintf	FUNC	B	va_list-format-long-double
vsscanf	FUNC	B	va_list-format-long-double
wcrtomb	FUNC	C	locale-mbstate-layout
wcscoll_l	FUNC	C	locale-owned-state
wcslen	FUNC	A	wchar32-string-leaf
wcsnrtombs	FUNC	C	locale-mbstate-layout
wcstod	FUNC	B	wide-locale-errno-number
wcstof	FUNC	B	wide-locale-errno-number
wcstol	FUNC	B	wide-locale-errno-integer
wcstold	FUNC	B	wide-long-double-locale-errno
wcstoll	FUNC	B	wide-locale-errno-integer
wcstoul	FUNC	B	wide-locale-errno-integer
wcstoull	FUNC	B	wide-locale-errno-integer
wcsxfrm_l	FUNC	C	locale-owned-state
wctob	FUNC	C	locale-global-conversion-state
wmemchr	FUNC	A	wchar32-memory-leaf
wmemcmp	FUNC	A	wchar32-memory-leaf
